,T (s),Latitude,Longitude,acce_1,acce_2,acce_3,gyro_1,gyro_2,gyro_3
228,8923.119,49.226908,-123.000328,-0.638987076,-11.24369774,0.493635737,-2.496071162,1.560608757,0.512076158
229,8933.644,49.226925,-123.000369,5.209873763,-11.91783728,-1.327914515,-3.423534823,2.08157858,0.045447452
230,8935.944,49.226944,-123.000347,4.111690698,-11.01434238,-0.90600183,-3.641701195,1.985323003,-0.166453725
231,8937.084,49.226953,-123.000339,4.595603754,-10.05827331,-0.435632262,-3.560950076,2.782663966,-0.189576053
232,8943.964,49.227005,-123.000304,-3.733767289,-11.69765937,-0.892242549,-2.421669578,2.016241794,0.659766454
233,8944.644,49.227009,-123.000301,-2.30651919,-10.74150367,-0.207849967,1.686381008,1.383108342,-0.303162762
234,9006.484,49.227437,-123.000505,0.163385772,6.054297594,5.995381883,0.637702844,0.099291672,0.090367153
235,9038.549,49.227361,-123.000874,-0.633450948,4.279297097,6.665767029,0.072481846,0.459796316,-0.312931849
236,9043.759,49.227273,-123.000942,-1.593139953,4.813512667,6.240084977,1.00199619,-0.738678839,-0.709423442
237,9053.724,49.22718,-123.001032,-0.502071791,4.163645742,6.861179258,0.503416522,-0.077252283,-0.049649385
238,9056.019,49.227158,-123.001031,0.082516625,4.937110734,8.658944591,0.183192362,0.03058124,-0.498027327
239,9059.924,49.227105,-123.00099,-2.007426008,-13.38443095,-1.652900563,-1.098825907,0.867730235,0.566481429
240,9070.184,49.227031,-123.000937,0.466063097,-9.657794,0.661575048,0.001729673,-0.017514654,-0.00419451
241,9076.194,49.227024,-123.000928,0.327562656,-9.708776057,0.659359475,0.008968,0.001220653,-0.002790305
